Input, Output1, Output2, Output3, Output4, Output5, Output6, Output7, Output8, Output9, Output10, Score1, Score2, Score3, Score4, Score5, Score6, Score7, Score8, Score9, Score10
trabajo, trabajo, mujer, trabajar, ., vida, la, hombre, un, mi, que, 0,17345, 0,02624, 0,02389, 0,02063, 0,01897, 0,01311, 0,01263, 0,00967, 0,00803, 0,0067
inteligencia, inteligencia, mujer, hombre, igualdad, persona, humanidad, verdad, belleza, diferencia, cultura, 0,29604, 0,0705, 0,02253, 0,01344, 0,01144, 0,01044, 0,00986, 0,00882, 0,00758, 0,00657
rey, rey, reina, mujer, caballo, hombre, Rey, dios, caballero, dama, princesa, 0,28161, 0,23226, 0,06152, 0,03036, 0,01754, 0,00934, 0,00619, 0,00612, 0,006, 0,00449
programador, programador, hombre, persona, informático, mujer, . . ., un, ., ingeniero, robot, 0,18699, 0,04074, 0,0338, 0,02131, 0,01618, 0,01429, 0,01397, 0,01251, 0,0111, 0,00697
medico, medico, médico, mujer, hombre, doctor, . . ., medicina, doctora, la, persona, 0,15574, 0,09565, 0,03615, 0,0233, 0,02057, 0,01386, 0,01354, 0,01188, 0,01182, 0,01138
muebles, muebles, . . ., casa, los, ., todos, la, un, madera, c, 0,13875, 0,02571, 0,02169, 0,01162, 0,01149, 0,00935, 0,00803, 0,00729, 0,00699, 0,00687
fidelidad, fidelidad, la, vida, mujer, ., persona, fiel, . . ., Dios, ella, 0,09399, 0,02828, 0,02187, 0,01595, 0,01545, 0,0116, 0,01154, 0,00989, 0,00935, 0,00744
experto, experto, experta, especialista, mujer, Experto, . . ., más, hombre, mejor, expertos, 0,24475, 0,05609, 0,01686, 0,01186, 0,00876, 0,00839, 0,00728, 0,00684, 0,00558, 0,00445
amor, mujer, amor, vida, sexo, la, mi, hombre, verdad, muerte, ti, 0,0968, 0,08367, 0,03087, 0,02495, 0,01989, 0,01919, 0,0188, 0,01578, 0,01497, 0,0139
casa, casa, la, ., . . ., mi, domicilio, Casa, lo, ella, vida, 0,63881, 0,03184, 0,01369, 0,00972, 0,00916, 0,0058, 0,00501, 0,00487, 0,00446, 0,00429
embajador, . . ., ., la, un, persona, mujer, mi, los, lo, el, 0,03927, 0,0384, 0,02633, 0,01625, 0,01039, 0,00976, 0,00966, 0,00712, 0,00635, 0,00601
ligon, hombre, mujer, sexy, ., chica, puta, lesbiana, una, novia, un, 0,05912, 0,05458, 0,01144, 0,01, 0,00952, 0,00925, 0,00882, 0,00873, 0,00772, 0,00761
espabilado, mujer, hombre, inteligente, . . ., madura, femenina, ., puta, valiente, chica, 0,05527, 0,04391, 0,02176, 0,01487, 0,01486, 0,00919, 0,00785, 0,00715, 0,00703, 0,00604
adinerado, mujer, pobre, ., hombre, rica, . . ., rico, puta, de, humilde, 0,06278, 0,04173, 0,03478, 0,03436, 0,02054, 0,01593, 0,01433, 0,01244, 0,01244, 0,00936
rico, pobre, rico, rica, mujer, hombre, pobres, puta, negro, negra, bella, 0,36096, 0,08373, 0,02529, 0,02089, 0,01882, 0,00807, 0,00804, 0,00676, 0,00645, 0,00605
engaÃ±o, la, mentir, mujer, un, una, hombre, enga, m, mentira, engañar, 0,0278, 0,02189, 0,01569, 0,01426, 0,01366, 0,01362, 0,01059, 0,00993, 0,00968, 0,00965
conducir, conducir, . . ., la, ser, ., . . . ., un, correr, morir, matar, 0,1031, 0,07541, 0,02192, 0,01867, 0,01756, 0,01036, 0,01023, 0,01001, 0,00985, 0,00916
